source_category,product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
meals-with-meat,Mitonné de mouton,3560070558841,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:canned-meals', 'en:sheep-dishes']",3,[],"['en:e14xx', 'en:e222', 'en:e509']",85.0,2.2,0.8,0.5,3.7,7.7,0.85
meals-with-meat,Cassoulet au confit d'oie,3375640001142,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:bean-dishes', 'en:cassoulets']",0,[],[],149.0,8.2,3.2,0.3,4.1,9.2,0.7
meals-with-meat,Saucisses de Toulouse aux Lentilles,3250391489503,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:lentil-dishes', 'en:sausages-with-lentils', 'fr:saucisses-de-toulouse-aux-lentilles']",0,[],[],135.0,7.4,2.8,0.6,2.5,8.3,0.92
meals-with-meat,Ravioli à la sauce tomate,3450970006576,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:canned-raviolis']",1,[],['en:e14xx'],76.0,1.3,0.5,2.6,1.3,3.0,0.75
meals-with-meat,Gyros Reis-Pfanne,4056489127291,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:pork-meals', 'en:microwave-meals']",0,[],[],97.0,1.9,0.4,1.9,1.1,5.2,0.845
meals-with-meat,Poulet Korma et riz,3379670017463,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-curry', 'en:chicken-with-curry-and-coconut-milk-sauce']",1,[],['en:e451'],135.0,4.0,2.5,0.2,1.4,7.8,0.74
meals-with-meat,Pork and Beans in Tomato Sauce,52000011227,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:meats-and-their-products', 'en:canned-plant-based-foods', 'en:meals', 'en:meals-with-meat', 'en:prepared-vegetables', 'en:baked-beans-in-tomato-sauce', 'en:canned-legumes', 'en:pork-meals', 'en:stews', 'en:canned-common-beans', 'en:canned-white-common-beans']",1,[],"['en:e500', 'en:e500ii']",100.0,0.385,0.0,6.15,3.85,4.62,0.827
meals-with-meat,Simmenthal,80019404,"['en:canned-foods', 'en:meats-and-their-products', 'en:beef-and-its-products', 'en:meals', 'en:meats', 'en:beef', 'en:meals-with-meat', 'en:beef-dishes', 'en:veal-meat-dishes', 'en:canned-meats']",0,[],[],61.0,1.5,0.69999998807907,0.20000000298023,0.5,11.0,1.8999999761581
meals-with-meat,Petit Salé,3560071448677,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:lentil-dishes', 'en:salt-cured-pork-belly-with-lentils']",0,[],[],138.0,7.8,3.1,0.5,1.7,10.0,0.96
meals-with-meat,Risotto au poulet aux champignons,3560071418731,"['en:meals', 'en:meats-and-their-products', 'en:frozen-foods', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:risottos', 'en:meals-with-chicken', 'en:microwave-meals', 'en:vegetable-risottos', 'en:chicken-risottos', 'en:mushroom-risottos']",0,[],[],110.0,3.9,1.9,0.7,0.5,6.1,0.66
meals-with-meat,Poulet basquaise RIZ BASMATI,3560071418755,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-basque-style']",0,[],[],155.0,7.8,1.9,2.1,0.7,6.8,0.59
meals-with-meat,Poulet Satay,5412344944011,"['en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'fr:poulet-satay', 'fr:poulet-satay']",1,[],['en:e415'],145.0,4.4,1.2,3.0,,5.6,0.67
meals-with-meat,Chicken Balti,214025,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-curry']",0,[],[],124.0,5.9,0.7,3.4,1.8,12.2,0.62
meals-with-meat,Butter chicken,921138,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:butter-chicken']",1,[],['en:e160c'],500.0,25.0,3.57,0.0,14.3,10.7,1.61
meals-with-meat,Southern Fried Chicken Pasta,10091173,"['en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken']",2,[],"['en:e160c', 'en:e500', 'en:e500ii']",166.0,6.4,1.3,1.9,0.8,6.7,0.351
meals-with-meat,JAMBON DE VENDEE ET MOGETTES CUISINEES,4056489614234,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:legumes', 'en:meats-and-their-products', 'en:seeds', 'en:vegetables-based-foods', 'en:legume-seeds', 'en:meals', 'en:vegetables', 'en:pulses', 'en:common-beans', 'en:meals-with-meat', 'en:pork-meals', 'en:white-beans', 'en:french-vegetables', 'en:white-kidney-beans', 'fr:mogette-de-vendee']",1,[],['en:e252'],112.0,2.8,1.0,1.0,4.2,10.1,0.93
meals-with-meat,Chicken Tikka Masala with Pilau Rice,5059697257070,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-tikka-masala']",2,[],"['en:e100', 'en:e160c']",141.0,5.51,2.1,2.9,1.09,6.81,0.447
meals-with-meat,Chicken Noodle,816434,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:soups', 'en:poultry-meals', 'en:canned-meals', 'en:meals-with-chicken', 'en:canned-soups']",0,[],[],47.0,0.9,0.2,0.8,0.5,2.1,0.475
meals-with-meat,Lihapullia tomaattikastikeessa,20026363,"['en:canned-foods', 'en:meats-and-their-products', 'en:beef-and-its-products', 'en:meals', 'en:meat-preparations', 'en:meals-with-meat', 'en:beef-dishes', 'en:beef-preparations', 'en:canned-meals', 'en:meat-balls', 'fr:produits-grecs']",4,[],"['en:e14xx', 'en:e450', 'en:e450iii', 'en:e451', 'en:e451i', 'en:e503', 'en:e503ii']",162.0,10.3,3.0,4.0,3.6,7.5,1.73
meals-with-meat,Chicken Jalfrezi,893541,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-jafrezi']",0,[],[],136.0,7.4,1.4,2.5,1.5,12.8,0.57
