product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Oats & Plenty Super Seedy & Nutty Porridge,5060853640063,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:porridge']",0,[],[],426.0,15.6,4.2,8.6,10.1,13.0,0.03
Grano high fibre seeded,29310456,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:crunchy-mueslis']",0,[],[],440.0,15.7,1.5,5.8,9.0,11.9,0.03
Tchico xxl,6111266750937,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:extruded-cereals', 'en:filled-cereals']",0,[],[],427.0,13.0,0.0,27.0,5.0,6.3,1.4
Weetabix Avena Suave Oatibix,5010029220629,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:rolled-flakes', 'en:rolled-oats']",0,[],[],370.0,8.0,1.5,1.1000000238419,9.0,11.0,0.029999999329448
Granola au chocolat et framboises,5902884465959,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:frozen-foods', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",1,[],['en:e322'],410.0,8.4,2.2,10.1,10.2,12.5,0.0
Muesli Croccante,20884291,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",1,[],['en:e306'],430.0,12.5,1.7,11.3,7.9,11.1,1.7
Muesli,3564706612822,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",2,[],"['en:e306', 'en:e471']",439.0,14.0,3.9,24.0,7.5,9.6,0.125
Schoko Müsli,4056489255499,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",1,[],['en:e322'],410.0,11.8,5.0,17.5,8.2,11.2,0.09
Pecan & Almond Grain-Free Granola,5060375300124,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:pecan-and-almond-granola']",0,[],[],634.0,53.0,20.8,9.4,,15.3,0.0001
PUMPKIN SEED + FLAX GRANOLA,0058449770565,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",1,[],['en:e306'],473.0,18.2,2.73,18.2,7.27,10.9,0.205
Muesli bio croustillant 3 chocolats,3111902100020,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",0,[],[],474.0,20.0,5.5,18.0,8.1,10.0,0.02
Céréales Trésor Kellogg's Chocolat Noisettes,5053827199469,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:extruded-cereals', 'en:filled-cereals', 'en:breakfast-cereals-filled-with-chocolate-hazelnuts']",5,[],"['en:e160', 'en:e160b', 'en:e304', 'en:e304i', 'en:e307', 'en:e322', 'en:e322i']",437.0,14.0,3.5,26.0,3.5,7.0,1.1
,3421557910210,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:rolled-flakes', 'en:rolled-oats']",0,[],[],371.0,7.0,1.3,1.0,10.0,12.0,0.01
Crunchy muesli,20419813,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",1,[],['en:e322'],450.0,15.9,2.9,17.7,6.9,9.9,0.375
Heritage Flakes Cereal,0058449770206,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-cereals', 'en:extruded-flakes', 'en:breakfast-cereals-rich-in-fibre']",0,[],[],400.0,3.75,0.0,12.5,17.5,12.5,1.06
Apple & Cinnamon Granola,5070000126562,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis']",0,[],[],398.0,14.2,2.0,9.5,14.7,10.8,0.0333
Honey & Almond Granola,5057753916428,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",0,[],[],427.0,12.3,1.5,15.60000038147,6.5,11.39999961853,0.1
Corn Flakes,5063089112427,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-cereals', 'en:extruded-flakes', 'en:corn-flakes']",0,[],[],387.0,1.2,0.3,6.1,2.5,7.7,0.59
Protein porridge chocolate,4056489562979,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:porridge', 'en:porridge-with-chocolate']",0,[],[],120.0,2.4,1.1,4.9,1.8,8.2,0.17
Céréales Muesli croustillant aux 4 noix paquet de 500g,3256220394079,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:cereals-with-nuts', 'en:mueslis-with-nuts']",2,[],"['en:e306', 'en:e471']",478.0,21.0,2.9,14.0,6.5,11.0,0.48
