product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
"Fromages Frais 3,6% matière grasse 6 x 60 g",3250390177678,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:petits-suisses', 'en:plain-fermented-dairy-desserts', 'en:fresh-cheeses', 'en:plain-petit-suisse', 'en:cream-cheeses', 'en:plain-petit-suisse-around-4-fat', 'fr:laitage-fromage-frais']",1,[],['en:e203'],85.0,3.6,2.6,3.6,0.5,9.2,0.09
Brie Plaisir de Roi,3070050570201,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:french-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:pasteurized-cheeses', 'en:bries']",0,[],[],347.0,31.0,22.0,0.0,,17.0,1.2775
Frischkäse Kräuter,40193168,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses']",0,[],[],235.0,22.0,15.4,3.0,,5.5,1.1
Queso Crema Finas Hierbas,8480000512086,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cow-cheeses', 'en:pasteurised-products', 'en:fresh-cheeses', 'en:pasteurized-cheeses', 'en:cheese-spreads', 'pt:queijos-fantasia']",3,[],"['en:e200', 'en:e407', 'en:e410']",167.0,13.0,9.2,5.0,,5.9,1.6
Mascarpone,4056489098614,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:cream-cheeses', 'en:mascarpone']",1,[],['en:e330'],401.0,41.0,30.0,2.5,,5.5,5.5
Bresse bleu,3480341004740,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:blue-veined-cheeses', 'en:french-blue-veined-cheeses']",0,[],[],342.0,30.0,21.0,0.5,,17.0,1.6
L'original (fromage),8721800402017,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:frozen-foods', 'en:cow-cheeses', 'en:pasteurised-products', 'en:pasteurized-cheeses']",0,[],[],352.0,27.5,18.5,0.1,0.0,26.0,1.5
Skyr nature - 450g,3256229477186,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:skyrs', 'en:plain-skyrs']",0,[],[],56.0,0.5,0.1,3.2,0.5,9.7,0.11
Italian Mozzarella,4088600058641,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:stretched-curd-cheeses', 'en:mozzarella']",1,[],['en:e330'],225.0,17.0,12.0,0.9,0.5,17.0,0.65
telemea din lapte de vaca,4056489083054,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'ro:telemea-de-vaca']",0,[],[],261.0,22.0,15.4,0.7,,15.0,2.2
Creamy Cottage Cheese,00341042,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:spreads', 'en:dairy-desserts', 'en:salted-spreads', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:fresh-cheeses', 'en:cheese-spreads', 'en:cottage-cheeses', 'en:plain-cottage-cheeses']",0,[],[],93.3,2.8,1.73,3.33,0.533,11.5,0.353
Gouda in Scheiben,4061463808660,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:uncooked-pressed-cheeses', 'en:gouda', 'en:sliced-cheeses', 'de:käse-in-scheiben']",0,[],[],348.0,28.0,18.0,0.0,,24.0,1.7
Edam tendre Holland KROON,8710912104650,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cheeses-of-the-netherlands', 'en:edam']",0,[],[],323.0,24.0,17.0,0.0,,25.0,6.5
طرتينو,6130413002286,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:melted-cheese']",3,[],"['en:e331', 'en:e450', 'en:e452']",251.19,21.15,12.73,1.1,0.0,9.93,1.68
Low fat Cottage Cheese,4056489896364,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:spreads', 'en:dairy-desserts', 'en:salted-spreads', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:fresh-cheeses', 'en:cheese-spreads', 'en:cottage-cheeses', 'en:plain-cottage-cheeses']",0,[],[],63.0,0.6,0.5,4.4,0.5,9.2,0.372
Vache qui rit,3073781205787,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:fresh-cheeses', 'en:cheese-spreads']",0,[],[],228.0,17.5,17.5,6.0,0.0,6.0,6.0
Mozzarella di latte di Bufala,8000430900231,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:stretched-curd-cheeses', 'en:buffalo-cheeses', 'en:fresh-cheeses', 'en:mozzarella', 'en:buffalo-mozzarella']",0,[],[],262.0,23.0,16.0,0.7,,13.0,0.7
President emmental rape fondant 500g,3228022940020,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:emmentaler', 'en:grated-cheese', 'en:grated-emmentaler']",0,[],[],373.0,29.0,21.0,0.5,,27.0,0.83
"Exquisa Fitline Natur 0,2% Fett 4019300005208 Frischkäsezubereitung wärmebehandelt Magerstufe",4019300005208,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses']",2,[],"['en:e407', 'en:e412']",62.0,0.2,0.1,3.5,,10.4,0.64
