product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Fraise,3560071016678,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:strawberry-ice-cream-tubs']",5,[],"['en:e330', 'en:e412', 'en:e415', 'en:e440', 'en:e471']",163.0,5.2,3.5,23.0,0.5,1.8,0.14
Crème glacé chocolat noir,3256228125446,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:chocolate-ice-cream-tubs']",1,[],['en:e412'],195.0,8.8,5.3,23.0,2.5,3.7,0.14
Extrême chocolat pistache x 8 cônes,7613031608034,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones', 'en:chocolate-pistachio-ice-cream-cones']",9,[],"['en:e100', 'en:e141', 'en:e141i', 'en:e141ii', 'en:e150a', 'en:e322', 'en:e322i', 'en:e412', 'en:e471', 'en:e476']",281.0,13.0,9.3,27.0,1.4,3.3,0.13
Extrême sundae caramel cacahuètes caramélisées,3274664173340,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones']",5,[],"['en:e150a', 'en:e322', 'en:e412', 'en:e440', 'en:e471']",279.0,12.0,8.5,29.0,0.9,3.4,0.22
Chocolat avec sauce au chocolat,3560070335879,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones', 'en:chocolate-vanilla-ice-cream-cones']",5,[],"['en:e14xx', 'en:e322', 'en:e322i', 'en:e471', 'en:e501']",310.0,14.0,11.0,28.0,2.4,3.9,0.19
Helado de chocolate negro,8480000642486,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate', 'en:vanilla-ice-cream-bars-coated-with-dark-chocolate']",0,[],[],307.0,20.10000038147,13.5,26.39999961853,,3.5,0.0
Nougat Glacé Framboise 650ml,3270160655403,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:nougat-ice-cream-tubs']",5,[],"['en:e407', 'en:e412', 'en:e414', 'en:e440', 'en:e471']",194.0,8.2,2.7,20.0,2.1,3.9,0.07
"Ferrero Rocher Eis, Triple Experience, Caramel",8000500406267,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate']",4,[],"['en:e14xx', 'en:e322', 'en:e407', 'en:e412']",402.0,27.6,14.3,30.2,0.0,5.0,0.257
Helado Biscoff,5410126137002,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars']",7,[],"['en:e322', 'en:e330', 'en:e410', 'en:e412', 'en:e471', 'en:e476', 'en:e500', 'en:e500ii']",434.0,28.7,13.0,32.4,0.704,3.24,0.366
"White Chocolate Chocolat blanc, cœur vanille",3560070774456,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate', 'en:vanilla-ice-cream-bars-coated-with-white-chocolate']",3,[],"['en:e160', 'en:e322', 'en:e322i', 'en:e471']",285.0,16.0,11.0,29.0,0.5,2.4,0.2
